article_id,ApproximateTitle,major_issue,study_type,preregistered,synthesised,other_data,analysis,robust_check,materials,replication,coi,materials_location,materials_access,prereg_location,prereg_access,prereg_aspects,analysis_location,analysis_access,other_data_location,other_data_access,other_data_type,synth_docu,synth_location,synth_access,year,coder1,coder2,isOA
284,Early Predictors of ADHD: Evidence from a Prospective Birth Cohort.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,NA,No
977,Genetic testing of newborns for type 1 diabetes susceptibility: a prospective cohort study on effects on maternal mental health.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,Timo,NA,Yes
408,Agreement between paternal self‐reported medication use and records from a national prescription database.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
861,Action Imitation at 11/2 Years Is Better Than Pointing Gesture in Predicting Late Development of Language Production at 3 Years of Age.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Timo,NA,Yes
24,Maternal vitamin D status in relation to infant BMI growth trajectories up to 2 years of age in two prospective pregnancy cohorts.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
327,Patterns and dietary determinants of essential and toxic elements in blood measured in mid-pregnancy: The Norwegian Environmental Biobank.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,NA,No
917,Intake of Probiotic Food and Risk of Preeclampsia in Primiparous Women.,no issues,Secondary analysis of MoBa data,No,No,NA,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,2011,Timo,NA,Yes
153,Genetic and Environmental Contributions to Co-Occurring ADHD and Emotional Problems in School-Aged Children.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,No
982,Maternal obesity in pregnancy and respiratory health in early childhood.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,Timo,NA,Yes
205,Autozygosity mapping and time-to-spontaneous delivery in Norwegian parent-offspring trios.,no issues,Secondary analysis of MoBa data,No,No,no,freely available,no,freely available,no,statement says no,Supplementary materials hosted by the journal,Yes,NA,NA,NA,"An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",Yes,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
84,Time Trends of Acrylamide Exposure in Europe: Combined Analysis of Published Reports and Current HBM4EU Studies.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
924,Maternal folate levels in pregnancy and asthma in children at age 3 years.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,Timo,NA,Yes
422,Polymer-based dental filling materials placed during pregnancy and risk to the foetus.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
102,"Lost to follow-up in the Norwegian mother, father and child cohort study.",no issues,Secondary analysis of MoBa data,No,No,yes,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,Unclear,No,unclear,NA,NA,NA,2022,Timo,NA,Yes
76,"Prenatal Exposure to Organophosphorus Pesticides and Preschool ADHD in the Norwegian Mother, Father and Child Cohort Study.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
717,Maternal Prepregnant Body Mass Index and Gestational Weight Gain Are Associated with Initiation and Duration of Breastfeeding among Norwegian Mothers.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,Timo,NA,Yes
155,An EPIC predictor of gestational age and its application to newborns conceived by assisted reproductive technologies.,no issues,Secondary analysis of MoBa data,No,No,yes,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,Upon request from the authors,No,unclear,NA,NA,NA,2021,Timo,NA,Yes
399,"Maternal and Newborn Vitamin D-Binding Protein, Vitamin D Levels, Vitamin D Receptor Genotype, and Childhood Type 1 Diabetes.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,NA,Yes
218,"Thyroid hormone replacement therapy in pregnancy and motor function, communication skills, and behavior of preschool children: The Norwegian Mother, Father, and Child Cohort Study.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
181,"Attention-deficit/hyperactivity disorder in children following prenatal exposure to antidepressants: results from the Norwegian mother, father and child cohort study.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity & power,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
653,Prenatal Triptan Exposure and Internalising and Externalising Behaviour Problems in 3-Year-Old Children: Results from the Norwegian Mother and Child Cohort Study.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Timo,NA,Yes
834,"Pre-pregnant body mass index, gestational weight gain and the risk of operative delivery.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Timo,NA,Yes
996,Exploration of different methods to assess dietary acrylamide exposure in pregnant women participating in the Norwegian Mother and Child Cohort Study (MoBa).,no issues,Secondary analysis of MoBa data,No,No,no,no,no,authors point to third party,no,statement says no,"An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Timo,NA,No
928,"Fear of childbirth, women's preference for cesarean section and childhood abuse: a longitudinal study.",no issues,Secondary analysis of MoBa data,No,No,NA,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,2011,Timo,NA,No
246,"Dissecting maternal and fetal genetic effects underlying the associations between maternal phenotypes, birth outcomes, and adult phenotypes: A mendelian-randomization and haplotype-based genetic score analysis in 10,734 mother–infant pairs.",no issues,Unclear,NA,NA,NA,NA,NA,NA,NA,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,NA,Yes
978,Evaluation of urinary iodine excretion as a biomarker for intake of milk and dairy products in pregnant women in the Norwegian Mother and Child Cohort Study (MoBa).,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,Timo,NA,No
176,Gestational Phthalate Exposure and Preschool Attention Deficit Hyperactivity Disorder in Norway.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
788,Selection of questions to short-form versions of original psychometric instruments in MoBa.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,Yes
126,"Maternal caffeine intake during pregnancy and child neurodevelopment up to eight years of age—Results from the Norwegian Mother, Father and Child Cohort Study.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
438,"Suboptimal Iodine Status among Pregnant Women in the Oslo Area, Norway.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
375,Benefits of cooperation among large-scale cohort studies and human biomonitoring projects in environmental health research: An exercise in blood lead analysis of the Environment and Child Health International Birth Cohort Group.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,NA,Yes
757,InterPregGen: genetic studies of pre-eclampsia in three continents.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,Yes
288,Is the association of early day care attendance with childhood asthma explained by underlying susceptibility?,no issues,Secondary analysis of MoBa data,No,No,no,freely available,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,Personal or institutional website,Yes,NA,NA,NA,NA,NA,NA,2020,Timo,NA,Yes
643,Cohort profile: cerebral palsy in the Norwegian and Danish birth cohorts (MOBAND-CP).,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Timo,NA,Yes
838,Characteristics of first-time fathers of advanced age: a Norwegian population-based study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Timo,NA,Yes
222,Preterm birth and risk for language delays before school entry: A sibling-control study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
554,Insomnia before and after childbirth: The risk of developing postpartum pain-A longitudinal population-based study.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timo,NA,Yes
787,Parental Obesity and Risk of Autism Spectrum Disorder.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,Yes
324,Bias from self selection and loss to follow-up in prospective cohort studies.,no issues,Secondary analysis of MoBa data,No,No,no,freely available,no,freely available,no,statement says no,Supplementary materials hosted by the journal,Yes,NA,NA,NA,"An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",Yes,NA,NA,NA,NA,NA,NA,2019,Timo,NA,No
495,Hypnotics use in children 0–18 months: moderate agreement between mother-reported survey data and prescription registry data.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Timo,NA,Yes
970,The Autism Birth Cohort: a paradigm for gene-environment-timing research.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,Timo,NA,Yes
831,"The concentration of bisphenol A in urine is affected by specimen collection, a preservative, and handling.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Timo,NA,Yes
670,"Depression and anxiety in women with epilepsy during pregnancy and after delivery: A prospective population-based cohort study on frequency, risk factors, medication, and prognosis.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,Timo,NA,Yes
819,Maternal Active and Passive Smoking and Hypertensive Disorders of Pregnancy Risk with Trimester-Specific Exposures.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Timo,NA,Yes
727,Dietary changes during first trimester pregnancy for women with nausea and vomiting in the Norwegian Mother and Child Cohort Study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,Yes
107,"Health behaviours prior to pregnancy and fertility outcomes: Triangulation of evidence in the Norwegian Mother, Father and Child Cohort Study (MoBa).",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity & power,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,Timo,NA,Yes
311,Childhood sensorineural hearing loss and educational attainment in adulthood: results from the hunt study.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timo,NA,No
484,Healthy minds 0–100 years: Optimising the use of European brain imaging cohorts (“Lifebrain”).,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
386,Epigenome-wide meta-analysis of DNA methylation and childhood asthma.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,authors point to third party,no,statement says yes,Available from a third party,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,NA,Yes
295,Prenatal Exposure to Perfluoroalkyl Substances Associated With Increased Susceptibility to Liver Injury in Children.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,NA,Yes
746,Maternal hormonal contraceptive use and offspring overweight or obesity.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,Yes
458,Revisiting the Children-of-Twins Design: Improving Existing Models for the Exploration of Intergenerational Associations.,no issues,Secondary analysis of MoBa data,No,No,no,freely available,power,no,no,statement says no,NA,NA,NA,NA,NA,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
116,"Childhood adherence to a potentially healthy and sustainable Nordic diet and later overweight: The Norwegian Mother, Father and Child Cohort Study (MoBa).",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
448,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timo,NA,Yes
213,Association between ChAdOx1 nCoV-19 vaccination and bleeding episodes: Large population-based cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
279,Pre conception use of cannabis and cocaine among men with pregnant partners.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,NA,Yes
721,Reliability of triclosan measures in repeated urine samples from Norwegian pregnant women.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,Yes
242,Modelling paternal exposure as a negative control.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,NA,Yes
118,Predicting selection into ECEC of higher quality in a universal context: The role of parental education and income.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
227,Accelerated failure time model for data from outcome-dependent sampling.,no issues,Unclear,No,No,no,no,sensitivity & power,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
502,Fetal and maternal genetic variants influencing neonatal vitamin d status.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,yes,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Timo,NA,Yes
403,Maternal and fetal genetic effects on birth weight and their relevance to cardio-metabolic risk factors.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,freely available,no,statement says yes,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,NA,Yes
478,The International Childhood Cancer Cohort Consortium (I4C): A research platform of prospective cohorts for studying the aetiology of childhood cancers.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,freely available,no,no statement,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
6,"Genetic profile of the norwegian mother, father, and child cohort study (moba): results from the mobapsychgen pipeline.",not a full article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timo,NA,No
496,Parental input patterns and transmission of high-status heritage languages: english and german as heritage languages in norway.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Timo,NA,Yes
41,Positive maternal mental health attenuates the associations between prenatal stress and children's internalizing and externalizing symptoms.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,Timo,NA,Yes
339,Development of ADHD symptoms in preschool children: Genetic and environmental contributions.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,NA,Yes
208,In Utero Exposure to Mercury Is Associated With Increased Susceptibility to Liver Injury and Inflammation in Childhood.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
274,Maternal Drinking and Child Emotional and Behavior Problems.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,NA,Yes
163,Maternal selenium intake and selenium status during pregnancy in relation to preeclampsia and pregnancy-induced hypertension in a large Norwegian Pregnancy Cohort Study.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,NA,Yes
462,Attention-Deficit/Hyperactivity Disorder in Preschoolers: The Accuracy of a Short Screener.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
594,Maternal alcohol binge-drinking in the first trimester and the risk of orofacial clefts in offspring: a large population-based pooling study.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Timo,NA,Yes
54,Handling unobserved confounding in the relation between prenatal risk factors and child outcomes: a latent variable strategy.,no issues,Secondary analysis of MoBa data,No,No,no,freely available,no,no,no,statement says no,NA,NA,NA,NA,NA,Supplementary materials hosted by the journal,NA,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
641,25-Hydroxyvitamin D in pregnancy and genome wide cord blood DNA methylation in two pregnancy cohorts (MoBa and ALSPAC).,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Timo,NA,Yes
12,"Predictors of relationship satisfaction across the transition to parenthood: results from the norwegian mother, father, and child cohort study (moba).",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
388,Adverse family life events during pregnancy and ADHD symptoms in five-year-old offspring.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,NA,Yes
75,Acute COVID-19 severity and mental health morbidity trajectories in patient populations of six nations: an observational study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
51,Maternal intake of folate during pregnancy and risk of cerebral palsy in the MOBAND-CP cohort.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
459,Early life exposure to air pollution particulate matter (PM) as risk factor for attention deficit/hyperactivity disorder (ADHD): Need for novel strategies for mechanisms and causalities.,no issues,no empirical data,NA,NA,NA,NA,NA,NA,NA,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,No
43,"Short- and medium-term air pollution exposure, plasmatic protein levels and blood pressure in children.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
642,"Intake of Caffeinated Soft Drinks before and during Pregnancy, but Not Total Caffeine Intake, Is Associated with Increased Cerebral Palsy Risk in the Norwegian Mother and Child Cohort Study.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Timo,NA,Yes
925,Oral contraceptive use before pregnancy and respiratory outcomes in the offspring: Comparison of estrogen-progestin combined pills and progestin-only pills.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,Timo,NA,Yes
640,Large Cohorts: Toward Routine Databases for Public Health Science.,no issues,no empirical data,NA,NA,NA,NA,NA,NA,NA,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Timo,NA,Yes
5,"A population-wide gene-environment interaction study on how genes, schools, and residential areas shape achievement.",no issues,Secondary analysis of MoBa data,No,No,no,authors point to third party,no,no,no,statement says no,NA,NA,NA,NA,NA,"An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",Yes,NA,NA,NA,NA,NA,NA,2022,Timo,NA,Yes
272,The genetic architecture of sporadic and multiple consecutive miscarriage.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,freely available,no,statement says yes,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,NA,Yes
658,Perfluoroalkyl substances measured in breast milk and child neuropsychological development in a norwegian birth cohort study.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timo,NA,No
885,Adding a Baby to the Equation. Married and Cohabiting Women's Relationship Satisfaction in the Transition to Parenthood.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,Timo,NA,No
530,History of depression and risk of hyperemesis gravidarum: a population-based cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Timo,NA,Yes
815,Nausea and vomiting in pregnancy: associations with maternal gestational diet and lifestyle factors in the Norwegian Mother and Child Cohort Study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Timo,NA,Yes
764,The Norwegian Mother and Child Cohort Study (MoBa) - its birth and early development.,no issues,no empirical data,NA,NA,NA,NA,NA,NA,NA,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,Yes
433,"Anxiety, depression and relationship satisfaction in the pregnancy following stillbirth and after the birth of a live-born baby: a prospective study.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
947,Infant temperament is associated with potentially obesogenic diet at 18 months.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,Timo,NA,Yes
270,Assessing maternal dietary quality in early pregnancy in the programming of intrauterine fetal growth.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timo,NA,Yes
601,Is consumption of sugar-sweetened soft drinks during pregnancy associated with birth weight?,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Timo,NA,Yes
593,Development of West-European PM2.5 and NO2 land use regression models incorporating satellite-derived and chemical transport modelling data.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timo,NA,Yes
734,"Relationship quality, divorce, and well-being: Findings from a three-year longitudinal study.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,No
749,Maternal pre-pregnancy risk drinking and toddler behavior problems: the Norwegian Mother and Child Cohort Study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,NA,Yes
429,"Maternal use of thyroid hormone replacement therapy before, during, and after pregnancy: agreement between self-report and prescription records and group-based trajectory modeling of prescription patterns.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,NA,Yes
986,Self-selection and bias in a large prospective pregnancy cohort in Norway.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,Timo,NA,Yes
521,The Influence of Meteorological Factors and Atmospheric Pollutants on the Risk of Preterm Birth.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Timo,NA,Yes
950,"Maternal health and lifestyle, and caries experience in preschool children. A longitudinal study from pregnancy to age 5 yr.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,Timo,NA,Yes
